Mã loại xe      | Tên loại xe          
0               | Xe Thuong            
1               | Xe VIP               
2               | Xe Hop Dong          
---------------------------
Tổng: 3.

Mã TX   | Biển KS         | Tên tài xế                       | Loại xe       
        2684             8 |              13.6 |    186,000
        2685            13 |              79.7 |  1,177,500
        2686             1 |                 6 |     72,000
        2687            15 |              88.8 |  1,314,000
        2688             1 |              22.1 |    313,500
        2689            13 |              35.2 |    510,000
        2690             7 |              28.7 |    412,500
        2691            18 |              28.2 |    405,000
        2692            15 |                24 |    342,000
        2693            13 |              28.8 |    414,000
        2694             4 |              77.6 |  1,146,000
        2695            10 |              76.5 |  1,129,500
        2696             7 |              92.2 |  1,365,000
        2697            19 |              38.1 |    553,500
        2698             3 |              60.1 |    883,500
        2699             9 |              59.1 |    868,500
        2700            20 |              32.1 |    463,500
        2701            15 |              24.7 |    352,500
        2702             7 |              38.6 |    561,000
        2703             1 |              28.2 |    405,000
        2704             1 |              51.6 |    756,000
        2705             5 |                39 |    567,000
        2706            18 |              71.7 |  1,057,500
        2707            14 |              58.5 |    859,500
        2708            18 |              15.4 |    213,000
        2709             6 |              87.9 |  1,300,500
        2710             5 |              58.6 |    861,000
        2711            12 |              32.7 |    472,500
        2712            13 |              92.4 |  1,368,000
        2713            18 |              29.3 |    421,500
        2714            14 |              10.4 |    138,000
        2715            17 |              65.6 |    966,000
        2716             2 |              42.3 |    616,500
        2717            14 |              10.4 |    138,000
        2718             1 |              46.9 |    685,500
        2719             8 |              39.1 |    568,500
        2720             2 |              40.8 |    594,000
        2721            11 |              28.4 |    408,000
        2722            14 |              58.7 |    862,500
        2723            13 |              20.7 |    292,500
        2724            13 |               4.4 |     48,000
        2725             6 |              69.7 |  1,027,500
        2726            10 |              91.1 |  1,348,500
        2727            16 |              20.5 |    289,500
        2728             2 |              47.5 |    694,500
        2729            12 |              46.5 |    679,500
        2730             4 |              32.9 |    475,500
        2731             2 |               8.4 |    108,000
        2732             3 |              45.1 |    658,500
        2733             9 |              63.2 |    930,000
        2734             2 |              64.5 |    949,500
        2735             4 |               9.1 |    118,500
        2736             7 |              42.4 |    618,000
        2737             5 |              22.8 |    324,000
        2738            12 |              47.3 |    691,500
        2739            14 |                54 |    792,000
        2740             8 |              63.6 |    936,000
        2741             2 |              95.9 |  1,420,500
        2742            10 |              89.8 |  1,329,000
        2743            13 |              67.7 |    997,500
        2744             2 |              87.8 |  1,299,000
        2745            17 |              93.2 |  1,380,000
        2746            18 |              98.9 |  1,465,500
        2747            19 |               7.4 |     93,000
        2748             5 |              90.7 |  1,342,500
        2749            18 |              77.4 |  1,143,000
        2750            18 |              25.6 |    366,000
        2751             9 |                87 |  1,287,000
        2752            17 |              59.5 |    874,500
        2753            17 |              62.9 |    925,500
        2754            18 |              98.2 |  1,455,000
        2755             9 |              66.7 |    982,500
        2756            12 |              54.2 |    795,000
        2757            15 |                60 |    882,000
        2758            20 |              86.1 |  1,273,500
        2759            20 |              81.9 |  1,210,500
        2760            19 |              50.2 |    735,000
        2761            13 |              65.2 |    960,000
        2762             5 |              65.4 |    963,000
        2763            12 |              77.1 |  1,138,500
        2764             6 |              36.5 |    529,500
        2765            12 |               1.6 |     12,000
        2766             3 |              68.3 |  1,006,500
        2767            16 |              88.4 |  1,308,000
        2768             5 |              44.5 |    649,500
        2769            13 |              40.9 |    595,500
        2770            18 |              79.7 |  1,177,500
        2771             4 |              92.3 |  1,366,500
        2772             5 |                65 |    957,000
        2773            14 |              42.1 |    613,500
        2774            12 |              47.1 |    688,500
        2775            16 |              95.6 |  1,416,000
        2776             7 |              41.7 |    607,500
        2777             7 |               1.5 |     12,000
        2778            11 |              60.7 |    892,500
        2779            14 |                 6 |     72,000
        2780            11 |              94.4 |  1,398,000
        2781             7 |                64 |    942,000
        2782            11 |              94.9 |  1,405,500
        2783             9 |              43.1 |    628,500
        2784            15 |              60.1 |    883,500
        2785            16 |              21.2 |    300,000
        2786             3 |              91.5 |  1,354,500
        2787            12 |               8.5 |    109,500
        2788            19 |              50.9 |    745,500
        2789            20 |              53.1 |    778,500
        2790            19 |              73.3 |  1,081,500
        2791            11 |              69.2 |  1,020,000
        2792            20 |              79.7 |  1,177,500
        2793             2 |              90.8 |  1,344,000
        2794            13 |              36.8 |    534,000
        2795             5 |              90.6 |  1,341,000
        2796            20 |                81 |  1,197,000
        2797             9 |              79.5 |  1,174,500
        2798            20 |              11.5 |    154,500
        2799            17 |              93.5 |  1,384,500
        2800            12 |              73.3 |  1,081,500
        2801            20 |              32.8 |    474,000
        2802            11 |              81.2 |  1,200,000
        2803            10 |              48.2 |    705,000
        2804            14 |                58 |    852,000
        2805             6 |              75.8 |  1,119,000
        2806            11 |              60.4 |    888,000
        2807            15 |              57.9 |    850,500
        2808             6 |                12 |    162,000
        2809            13 |              95.2 |  1,410,000
        2810            16 |              64.2 |    945,000
        2811            16 |              19.1 |    268,500
        2812             8 |              95.8 |  1,419,000
        2813            16 |              23.7 |    337,500
        2814            10 |              33.9 |    490,500
        2815            12 |              47.4 |    693,000
        2816            19 |              83.3 |  1,231,500
        2817             8 |              29.1 |    418,500
        2818            17 |              62.9 |    925,500
        2819             7 |              36.7 |    532,500
        2820             3 |              14.2 |    195,000
        2821            17 |                78 |  1,152,000
        2822             9 |              80.6 |  1,191,000
        2823            19 |              26.6 |    381,000
        2824             1 |              19.5 |    274,500
        2825             1 |              49.2 |    720,000
        2826            20 |              15.9 |    220,500
        2827             2 |              41.8 |    609,000
        2828            15 |              95.1 |  1,408,500
        2829            15 |              53.7 |    787,500
        2830             7 |              90.3 |  1,336,500
        2831             5 |              54.7 |    802,500
        2832             5 |                74 |  1,092,000
        2833            20 |              71.4 |  1,053,000
        2834             1 |               3.8 |     39,000
        2835             9 |              70.4 |  1,038,000
        2836             5 |                61 |    897,000
        2837            17 |              27.6 |    396,000
        2838            17 |              24.1 |    343,500
        2839             6 |              35.1 |    508,500
        2840             6 |              47.4 |    693,000
        2841             3 |              69.3 |  1,021,500
        2842             4 |                56 |    822,000
        2843             4 |                95 |  1,407,000
        2844            14 |                34 |    492,000
        2845             1 |              33.8 |    489,000
        2846            17 |                67 |    987,000
        2847            18 |              26.1 |    373,500
        2848             8 |              75.4 |  1,113,000
        2849             5 |              57.1 |    838,500
        2850            17 |              81.9 |  1,210,500
        2851            19 |              91.1 |  1,348,500
        2852             7 |              79.5 |  1,174,500
        2853            20 |              69.1 |  1,018,500
        2854            17 |                34 |    492,000
        2855             9 |              87.9 |  1,300,500
        2856             3 |              82.4 |  1,218,000
        2857            11 |              51.3 |    751,500
        2858            13 |                12 |    162,000
        2859            14 |                96 |  1,422,000
        2860            20 |              87.4 |  1,293,000
        2861            20 |              36.2 |    525,000
        2862            10 |              62.6 |    921,000
        2863            19 |              24.8 |    354,000
        2864             1 |              58.9 |    865,500
        2865             4 |              43.9 |    640,500
        2866            15 |              17.4 |    243,000
        2867             5 |              82.7 |  1,222,500
        2868             4 |              16.9 |    235,500
        2869            16 |              10.1 |    133,500
        2870            11 |              82.2 |  1,215,000
        2871             2 |              94.1 |  1,393,500
        2872            16 |              57.8 |    849,000
        2873             2 |              39.1 |    568,500
        2874             9 |              89.7 |  1,327,500
        2875            15 |              14.3 |    196,500
        2876             8 |                99 |  1,467,000
        2877            20 |                52 |    762,000
        2878            19 |              12.6 |    171,000
        2879             4 |              81.8 |  1,209,000
        2880            11 |               6.4 |     78,000
        2881            12 |                71 |  1,047,000
        2882             1 |              17.5 |    244,500
        2883            14 |               6.2 |     75,000
        2884             6 |                37 |    537,000
        2885            19 |              94.8 |  1,404,000
        2886            13 |               7.2 |     90,000
        2887             6 |              75.6 |  1,116,000
        2888            14 |              56.1 |    823,500
        2889             8 |              56.7 |    832,500
        2890             8 |                97 |  1,437,000
        2891            12 |                62 |    912,000
        2892             9 |                14 |    192,000
        2893             3 |              73.9 |  1,090,500
        2894             3 |                88 |  1,302,000
        2895            10 |               5.4 |     63,000
        2896             3 |                29 |    417,000
        2897             7 |              77.9 |  1,150,500
        2898            12 |               9.4 |    123,000
        2899            14 |               3.1 |     28,500
        2900             5 |              21.2 |    300,000
        2901             5 |              53.9 |    790,500
        2902            19 |              11.1 |    148,500
        2903            10 |              30.9 |    445,500
        2904             2 |              66.9 |    985,500
        2905             1 |               9.5 |    124,500
        2906            10 |              75.1 |  1,108,500
        2907             3 |              54.7 |    802,500
        2908            10 |               4.4 |     48,000
        2909             2 |              65.3 |    961,500
        2910            13 |              15.8 |    219,000
        2911             3 |              24.3 |    346,500
        2912             4 |              94.3 |  1,396,500
        2913            11 |              16.8 |    234,000
        2914             2 |              31.2 |    450,000
        2915             9 |              62.4 |    918,000
        2916            13 |              75.5 |  1,114,500
        2917             3 |              76.9 |  1,135,500
        2918             3 |               5.1 |     58,500
        2919            11 |              29.1 |    418,500
        2920             7 |              24.8 |    354,000
        2921            20 |               8.5 |    109,500
        2922             6 |                 3 |     27,000
        2923             1 |              18.8 |    264,000
        2924            18 |              32.4 |    468,000
        2925             7 |              64.2 |    945,000
        2926             3 |                38 |    552,000
        2927            18 |              90.4 |  1,338,000
        2928            15 |               5.9 |     70,500
        2929            19 |               1.2 |     12,000
        2930             1 |              71.9 |  1,060,500
        2931            10 |              68.5 |  1,009,500
        2932             6 |              89.3 |  1,321,500
        2933             4 |              31.1 |    448,500
        2934            12 |               2.2 |     15,000
        2935             8 |              13.6 |    186,000
        2936            15 |              50.4 |    738,000
        2937            11 |              92.7 |  1,372,500
        2938             7 |              22.2 |    315,000
        2939             1 |                83 |  1,227,000
        2940            16 |              25.7 |    367,500
        2941            12 |              70.8 |  1,044,000
        2942             7 |              53.2 |    780,000
        2943             2 |              76.5 |  1,129,500
        2944            10 |              48.3 |    706,500
        2945            13 |              71.6 |  1,056,000
        2946            10 |              23.4 |    333,000
        2947            10 |              34.6 |    501,000
        2948            14 |              28.7 |    412,500
        2949            19 |              65.6 |    966,000
        2950            12 |              55.3 |    811,500
        2951            16 |              63.8 |    939,000
        2952             1 |              60.9 |    895,500
        2953             1 |              40.9 |    595,500
        2954             9 |              44.6 |    651,000
        2955            11 |              94.8 |  1,404,000
        2956             1 |                76 |  1,122,000
        2957            13 |              17.5 |    244,500
        2958            16 |              49.5 |    724,500
        2959             8 |                97 |  1,437,000
        2960            11 |              18.8 |    264,000
        2961            13 |              66.3 |    976,500
        2962            19 |              15.8 |    219,000
        2963             8 |              46.7 |    682,500
        2964            17 |              89.8 |  1,329,000
        2965             6 |                57 |    837,000
        2966             7 |              74.8 |  1,104,000
        2967             2 |              23.3 |    331,500
        2968             4 |              45.3 |    661,500
        2969             7 |              53.8 |    789,000
        2970            14 |              45.5 |    664,500
        2971            11 |              39.6 |    576,000
        2972            17 |                38 |    552,000
        2973             8 |              51.9 |    760,500
        2974             1 |              24.8 |    354,000
        2975            16 |              31.5 |    454,500
        2976            16 |              53.9 |    790,500
        2977             3 |                 5 |     57,000
        2978            13 |              16.1 |    223,500
        2979            11 |              28.2 |    405,000
        2980             8 |              93.1 |  1,378,500
        2981            19 |              14.1 |    193,500
        2982             4 |               4.1 |     43,500
        2983            14 |              54.2 |    795,000
        2984            18 |                59 |    867,000
        2985            15 |              29.4 |    423,000
        2986             4 |                63 |    927,000
        2987            20 |                 2 |     12,000
        2988             9 |              42.2 |    615,000
        2989            20 |              89.5 |  1,324,500
        2990             3 |              71.3 |  1,051,500
        2991             8 |               7.8 |     99,000
        2992            13 |              77.8 |  1,149,000
        2993            12 |              85.3 |  1,261,500
        2994             4 |               1.2 |     12,000
        2995            16 |              86.6 |  1,281,000
        2996             4 |                71 |  1,047,000
        2997             1 |               3.7 |     37,500
        2998            14 |              15.7 |    217,500
        2999            10 |              74.2 |  1,095,000
        3000             3 |              11.2 |    150,000
        3001            16 |              20.7 |    292,500
        3002            18 |                31 |    447,000
        3003             4 |              22.6 |    321,000
        3004             1 |              96.8 |  1,434,000
        3005             5 |              75.2 |  1,110,000
        3006            19 |              22.8 |    324,000
        3007             7 |              73.9 |  1,090,500
        3008             2 |              16.3 |    226,500
        3009            10 |              32.3 |    466,500
        3010            12 |              24.1 |    343,500
        3011            15 |              46.2 |    675,000
        3012             7 |              62.7 |    922,500
        3013            11 |               5.2 |     60,000
        3014             2 |              72.3 |  1,066,500
        3015            11 |              18.5 |    259,500
        3016            11 |               5.8 |     69,000
        3017             1 |              52.5 |    769,500
        3018            10 |              26.9 |    385,500
        3019            12 |              92.7 |  1,372,500
        3020            12 |              30.5 |    439,500
        3021            19 |              40.3 |    586,500
        3022            17 |              88.4 |  1,308,000
        3023            15 |              50.5 |    739,500
        3024             1 |              64.3 |    946,500
        3025            14 |              81.2 |  1,200,000
        3026            11 |              60.5 |    889,500
        3027             1 |              40.8 |    594,000
        3028            10 |              44.8 |    654,000
        3029             6 |              56.4 |    828,000
        3030            19 |              17.3 |    241,500
        3031             9 |                86 |  1,272,000
        3032             1 |              87.4 |  1,293,000
        3033            16 |              88.6 |  1,311,000
        3034            18 |              68.2 |  1,005,000
        3035            10 |                79 |  1,167,000
        3036            11 |              81.9 |  1,210,500
        3037            20 |              20.5 |    289,500
        3038             8 |              23.2 |    330,000
        3039            15 |              33.4 |    483,000
        3040            18 |              68.4 |  1,008,000
        3041             8 |              63.4 |    933,000
        3042             8 |              91.1 |  1,348,500
        3043            16 |              66.3 |    976,500
        3044            16 |              76.6 |  1,131,000
        3045            11 |               5.3 |     61,500
        3046            15 |              31.3 |    451,500
        3047            12 |              79.4 |  1,173,000
        3048            12 |              63.7 |    937,500
        3049             1 |              74.7 |  1,102,500
        3050            17 |               9.8 |    129,000
        3051            12 |              50.8 |    744,000
        3052             5 |              53.5 |    784,500
        3053            14 |              24.1 |    343,500
        3054            16 |              98.5 |  1,459,500
        3055             6 |              68.1 |  1,003,500
        3056             7 |              55.7 |    817,500
        3057             2 |              54.4 |    798,000
        3058             3 |              26.4 |    378,000
        3059             6 |               1.2 |     12,000
        3060            14 |              21.8 |    309,000
        3061             7 |              19.1 |    268,500
        3062            19 |              75.8 |  1,119,000
        3063             1 |              40.7 |    592,500
        3064             7 |              45.7 |    667,500
        3065            10 |              69.7 |  1,027,500
        3066            12 |              63.8 |    939,000
        3067            15 |                75 |  1,107,000
        3068             9 |              31.5 |    454,500
        3069             5 |              94.9 |  1,405,500
        3070             3 |              39.5 |    574,500
        3071            15 |              20.6 |    291,000
        3072            17 |                50 |    732,000
        3073             5 |                28 |    402,000
        3074            10 |              14.4 |    198,000
        3075             4 |              67.7 |    997,500
        3076            16 |                49 |    717,000
        3077             5 |              92.6 |  1,371,000
        3078            17 |              72.4 |  1,068,000
        3079             9 |              17.8 |    249,000
        3080            11 |              38.4 |    558,000
        3081            17 |                35 |    507,000
        3082             8 |              62.7 |    922,500
        3083             9 |              72.8 |  1,074,000
        3084            11 |              37.9 |    550,500
        3085             4 |              76.1 |  1,123,500
        3086            16 |              83.1 |  1,228,500
        3087            19 |              48.2 |    705,000
        3088             2 |              13.9 |    190,500
        3089            17 |              66.7 |    982,500
        3090             6 |                23 |    327,000
        3091             5 |              14.9 |    205,500
        3092            14 |              12.3 |    166,500
        3093             6 |              47.6 |    696,000
        3094             5 |              18.4 |    258,000
        3095             2 |                 2 |     12,000
        3096             4 |              56.7 |    832,500
        3097             5 |              84.3 |  1,246,500
        3098             1 |              99.4 |  1,473,000
        3099            20 |                84 |  1,242,000
        3100             9 |              66.8 |    984,000
        3101             3 |                32 |    462,000
        3102            15 |              58.9 |    865,500
        3103            12 |                65 |    957,000
        3104             1 |              48.9 |    715,500
        3105             7 |              60.2 |    885,000
        3106            19 |              67.4 |    993,000
        3107            13 |              84.3 |  1,246,500
        3108            15 |               5.7 |     67,500
        3109             1 |              66.2 |    975,000
        3110            18 |              73.4 |  1,083,000
        3111             6 |              38.4 |    558,000
        3112            11 |              50.8 |    744,000
        3113             7 |              70.8 |  1,044,000
        3114            11 |               7.3 |     91,500
        3115            10 |              97.7 |  1,447,500
        3116             8 |              18.6 |    261,000
        3117            12 |              69.9 |  1,030,500
        3118            17 |              79.9 |  1,180,500
        3119             3 |                40 |    582,000
        3120            19 |              80.4 |  1,188,000
        3121            18 |               6.5 |     79,500
        3122            20 |              21.3 |    301,500
        3123             2 |              49.6 |    726,000
        3124            13 |              27.5 |    394,500
        3125             4 |                64 |    942,000
        3126             3 |              76.4 |  1,128,000
        3127            11 |               6.3 |     76,500
        3128            12 |              16.9 |    235,500
        3129             6 |              20.8 |    294,000
        3130             1 |              23.5 |    334,500
        3131             7 |              60.9 |    895,500
        3132             7 |              50.1 |    733,500
        3133             4 |              66.2 |    975,000
        3134            20 |              64.9 |    955,500
        3135            11 |              82.8 |  1,224,000
        3136             1 |              53.6 |    786,000
        3137            10 |              55.1 |    808,500
        3138            16 |              44.6 |    651,000
        3139             5 |              32.7 |    472,500
        3140            20 |               6.4 |     78,000
        3141             9 |              84.2 |  1,245,000
        3142             8 |              54.8 |    804,000
        3143             9 |              45.5 |    664,500
        3144            17 |              12.6 |    171,000
        3145            17 |               6.6 |     81,000
        3146            10 |              68.7 |  1,012,500
        3147             9 |              71.9 |  1,060,500
        3148             6 |              58.9 |    865,500
        3149             6 |               9.9 |    130,500
        3150            13 |                25 |    357,000
        3151             5 |              25.1 |    358,500
        3152             8 |               4.9 |     55,500
        3153             8 |                47 |    687,000
        3154            17 |              51.4 |    753,000
        3155            14 |              59.5 |    874,500
        3156             9 |              99.3 |  1,471,500
        3157            14 |              99.7 |  1,477,500
        3158             7 |                59 |    867,000
        3159             9 |              89.6 |  1,326,000
        3160             4 |              94.7 |  1,402,500
        3161             6 |              58.6 |    861,000
        3162             5 |              94.6 |  1,401,000
        3163             3 |              17.4 |    243,000
        3164            12 |              47.9 |    700,500
        3165            20 |              70.4 |  1,038,000
        3166             9 |              52.2 |    765,000
        3167             1 |              38.6 |    561,000
        3168             6 |              80.9 |  1,195,500
        3169            19 |              73.6 |  1,086,000
        3170             9 |              74.7 |  1,102,500
        3171             6 |              64.8 |    954,000
        3172            11 |              61.3 |    901,500
        3173            12 |              54.8 |    804,000
        3174             5 |              24.4 |    348,000
        3175             5 |                89 |  1,317,000
        3176            14 |              25.2 |    360,000
        3177            13 |                 7 |     87,000
        3178            17 |              18.5 |    259,500
        3179            13 |              11.9 |    160,500
        3180            20 |              36.4 |    528,000
        3181             3 |                72 |  1,062,000
        3182            20 |              61.8 |    909,000
        3183             5 |              30.6 |    441,000
        3184            20 |              38.2 |    555,000
        3185            15 |              46.5 |    679,500
        3186            18 |               2.2 |     15,000
        3187            13 |              84.9 |  1,255,500
        3188            12 |              18.2 |    255,000
        3189            19 |              28.5 |    409,500
        3190            17 |              28.4 |    408,000
        3191             2 |              33.1 |    478,500
        3192            20 |              29.7 |    427,500
        3193             8 |              45.9 |    670,500
        3194             1 |                70 |  1,032,000
        3195            14 |              68.6 |  1,011,000
        3196            10 |              62.9 |    925,500
        3197             8 |              26.3 |    376,500
        3198             7 |              80.3 |  1,186,500
        3199            10 |                45 |    657,000
        3200            12 |              33.6 |    486,000
        3201             5 |              55.5 |    814,500
        3202            15 |              23.8 |    339,000
        3203             2 |              27.5 |    394,500
        3204            19 |              54.8 |    804,000
        3205            11 |              13.8 |    189,000
        3206             4 |              82.3 |  1,216,500
        3207            15 |              51.5 |    754,500
        3208            16 |              13.7 |    187,500
        3209            14 |              68.8 |  1,014,000
        3210             7 |              42.6 |    621,000
        3211            20 |              55.3 |    811,500
        3212            19 |                96 |  1,422,000
        3213            19 |              52.8 |    774,000
        3214             7 |              90.5 |  1,339,500
        3215            13 |              83.1 |  1,228,500
        3216             9 |                 9 |    117,000
        3217             1 |              72.6 |  1,071,000
        3218             7 |              17.9 |    250,500
        3219             5 |              68.5 |  1,009,500
        3220            15 |              23.8 |    339,000
        3221            20 |               4.7 |     52,500
        3222             5 |              18.7 |    262,500
        3223            17 |              70.8 |  1,044,000
        3224            15 |              99.4 |  1,473,000
        3225            10 |              41.5 |    604,500
        3226            20 |              50.9 |    745,500
        3227            19 |              58.2 |    855,000
        3228             5 |              59.1 |    868,500
        3229            19 |              44.4 |    648,000
        3230             3 |              53.2 |    780,000
        3231             1 |                98 |  1,452,000
        3232             7 |              17.3 |    241,500
        3233             5 |              33.4 |    483,000
        3234             4 |              92.8 |  1,374,000
        3235            20 |              15.7 |    217,500
        3236            19 |              47.8 |    699,000
        3237            16 |              16.8 |    234,000
        3238             3 |              29.4 |    423,000
        3239            13 |                68 |  1,002,000
        3240             4 |              42.4 |    618,000
        3241            19 |              48.4 |    708,000
        3242            14 |              82.9 |  1,225,500
        3243            15 |              43.1 |    628,500
        3244             1 |              49.9 |    730,500
        3245            17 |                55 |    807,000
        3246             7 |              44.1 |    643,500
        3247             2 |              34.8 |    504,000
        3248            10 |              70.7 |  1,042,500
        3249             8 |              66.5 |    979,500
        3250             8 |              55.8 |    819,000
        3251             3 |              53.7 |    787,500
        3252             4 |              32.5 |    469,500
        3253             2 |                76 |  1,122,000
        3254             1 |              11.9 |    160,500
        3255             4 |              83.3 |  1,231,500
        3256            10 |               5.5 |     64,500
        3257             7 |              89.1 |  1,318,500
        3258            10 |              33.6 |    486,000
        3259             7 |                86 |  1,272,000
        3260             6 |              12.4 |    168,000
        3261            10 |              68.7 |  1,012,500
        3262            11 |              28.6 |    411,000
        3263            11 |              38.6 |    561,000
        3264             1 |              41.9 |    610,500
        3265            10 |                73 |  1,077,000
        3266            19 |              63.6 |    936,000
        3267            14 |              32.7 |    472,500
        3268             1 |              59.6 |    876,000
        3269            20 |               5.3 |     61,500
        3270            10 |              30.9 |    445,500
        3271             7 |              88.5 |  1,309,500
        3272            15 |              49.4 |    723,000
        3273             8 |              62.6 |    921,000
        3274            16 |                99 |  1,467,000
        3275             5 |              85.1 |  1,258,500
        3276             2 |               4.4 |     48,000
        3277             1 |              78.3 |  1,156,500
        3278            20 |              15.8 |    219,000
        3279            19 |               2.4 |     18,000
        3280             9 |               2.9 |     25,500
        3281            20 |              66.8 |    984,000
        3282            20 |                42 |    612,000
        3283             2 |              50.1 |    733,500
        3284            15 |              15.3 |    211,500
        3285            15 |              21.8 |    309,000
        3286            16 |                40 |    582,000
        3287             1 |               2.4 |     18,000
        3288            16 |              39.8 |    579,000
        3289            14 |              63.2 |    930,000
        3290            19 |               4.3 |     46,500
        3291            11 |              14.7 |    202,500
        3292             8 |              30.3 |    436,500
        3293             8 |              86.2 |  1,275,000
        3294            16 |              89.6 |  1,326,000
        3295            19 |              59.6 |    876,000
        3296            20 |              23.3 |    331,500
        3297             4 |              82.7 |  1,222,500
        3298            11 |              71.8 |  1,059,000
        3299            13 |              55.5 |    814,500
        3300             6 |              40.3 |    586,500
        3301            16 |              80.6 |  1,191,000
        3302            20 |              24.7 |    352,500
        3303            10 |               8.9 |    115,500
        3304             5 |               2.7 |     22,500
        3305             6 |               3.5 |     34,500
        3306             1 |              18.9 |    265,500
        3307            18 |              24.1 |    343,500
        3308             8 |              57.8 |    849,000
        3309             1 |              92.4 |  1,368,000
        3310            20 |              91.4 |  1,353,000
        3311            12 |              30.7 |    442,500
        3312             6 |               3.9 |     40,500
        3313             2 |              94.7 |  1,402,500
        3314            14 |              12.6 |    171,000
        3315             2 |              44.2 |    645,000
        3316             4 |              69.4 |  1,023,000
        3317             9 |              31.7 |    457,500
        3318             7 |              22.3 |    316,500
        3319             4 |              95.4 |  1,413,000
        3320            19 |              21.9 |    310,500
        3321            14 |              61.5 |    904,500
        3322             2 |              55.4 |    813,000
        3323             7 |                33 |    477,000
        3324            11 |              50.7 |    742,500
        3325             2 |              98.6 |  1,461,000
        3326             9 |              51.9 |    760,500
        3327            15 |              84.5 |  1,249,500
        3328             9 |              27.6 |    396,000
        3329            18 |               9.8 |    129,000
        3330             1 |              87.9 |  1,300,500
        3331            15 |                44 |    642,000
        3332            18 |              16.6 |    231,000
        3333             4 |              12.7 |    172,500
        3334             7 |              48.8 |    714,000
        3335            15 |              51.5 |    754,500
        3336            16 |              93.5 |  1,384,500
        3337             7 |              55.1 |    808,500
        3338            20 |               4.1 |     43,500
        3339             7 |              89.4 |  1,323,000
        3340             9 |               5.9 |     70,500
        3341            18 |              29.6 |    426,000
        3342            12 |              46.9 |    685,500
        3343            10 |                19 |    267,000
        3344             7 |              98.7 |  1,462,500
        3345            19 |              54.4 |    798,000
        3346            15 |              34.9 |    505,500
        3347            19 |                35 |    507,000
        3348            10 |              44.9 |    655,500
        3349            17 |              89.3 |  1,321,500
        3350             2 |              34.5 |    499,500
        3351             7 |              41.8 |    609,000
        3352             1 |                62 |    912,000
        3353            18 |               9.6 |    126,000
        3354            12 |              72.6 |  1,071,000
        3355            11 |                39 |    567,000
        3356            19 |              93.9 |  1,390,500
        3357            13 |              38.1 |    553,500
        3358             9 |               7.4 |     93,000
        3359            16 |                43 |    627,000
        3360            17 |              56.1 |    823,500
        3361            17 |              15.7 |    217,500
        3362             4 |              38.5 |    559,500
        3363            15 |                10 |    132,000
        3364            13 |              56.4 |    828,000
        3365             1 |              46.6 |    681,000
        3366            16 |              82.8 |  1,224,000
        3367            16 |              52.3 |    766,500
        3368             8 |              76.3 |  1,126,500
        3369             7 |              70.2 |  1,035,000
        3370             8 |              60.7 |    892,500
        3371            11 |              73.5 |  1,084,500
        3372            12 |              53.8 |    789,000
        3373            17 |              42.5 |    619,500
        3374             7 |              89.4 |  1,323,000
        3375            13 |                 6 |     72,000
        3376             3 |              12.7 |    172,500
        3377             5 |              72.9 |  1,075,500
        3378            13 |               2.2 |     15,000
        3379            12 |              62.5 |    919,500
        3380             4 |              10.2 |    135,000
        3381             5 |              76.8 |  1,134,000
        3382            10 |              93.4 |  1,383,000
        3383            11 |              28.9 |    415,500
        3384             9 |              97.8 |  1,449,000
        3385             3 |                94 |  1,392,000
        3386             8 |              88.1 |  1,303,500
        3387            18 |              82.3 |  1,216,500
        3388             6 |              19.9 |    280,500
        3389             7 |              54.5 |    799,500
        3390             2 |                16 |    222,000
        3391             2 |              24.2 |    345,000
        3392            16 |              91.1 |  1,348,500
        3393             3 |              78.8 |  1,164,000
        3394             4 |                19 |    267,000
        3395            18 |              70.7 |  1,042,500
        3396            18 |              66.9 |    985,500
        3397             6 |              92.4 |  1,368,000
        3398            14 |              40.2 |    585,000
        3399            17 |              35.5 |    514,500
        3400            13 |              23.7 |    337,500
        3401             3 |              24.9 |    355,500
        3402             4 |              79.7 |  1,177,500
        3403            19 |              50.6 |    741,000
        3404            18 |              55.3 |    811,500
        3405             2 |               5.3 |     61,500
        3406             6 |               3.8 |     39,000
        3407             8 |              99.9 |  1,480,500
        3408            19 |              87.9 |  1,300,500
        3409             7 |              27.1 |    388,500
        3410             7 |              14.2 |    195,000
        3411            16 |              12.2 |    165,000
        3412             2 |              12.8 |    174,000
        3413            20 |              41.6 |    606,000
        3414            18 |              13.2 |    180,000
        3415            11 |              60.6 |    891,000
        3416            20 |               1.8 |     12,000
        3417             4 |              30.5 |    439,500
        3418             9 |               3.6 |     36,000
        3419             7 |              78.5 |  1,159,500
        3420             2 |              39.6 |    576,000
        3421            14 |              55.3 |    811,500
        3422             2 |                23 |    327,000
        3423             4 |              80.8 |  1,194,000
        3424             4 |                18 |    252,000
        3425             7 |              43.9 |    640,500
        3426             5 |              47.2 |    690,000
        3427             7 |              18.5 |    259,500
        3428             6 |              23.2 |    330,000
        3429            11 |              38.5 |    559,500
        3430             8 |              57.7 |    847,500
        3431            16 |              69.1 |  1,018,500
        3432             5 |              85.9 |  1,270,500
        3433             6 |              47.6 |    696,000
